anime_id,image_url
5036,https://myanimelist.cdn-dena.com/images/anime/5/24446.jpg
9690,https://myanimelist.cdn-dena.com/images/anime/11/26850.jpg
9721,https://myanimelist.cdn-dena.com/images/anime/11/36725.jpg
812,https://myanimelist.cdn-dena.com/images/anime/4/57253.jpg
19849,https://myanimelist.cdn-dena.com/images/anime/4/52931.jpg
7791,https://myanimelist.cdn-dena.com/images/anime/12/76121.jpg
747,https://myanimelist.cdn-dena.com/images/anime/6/3718.jpg
11009,https://myanimelist.cdn-dena.com/images/anime/4/30543.jpg
8726,https://myanimelist.cdn-dena.com/images/anime/9/25880.jpg
20229,https://myanimelist.cdn-dena.com/images/anime/12/53839.jpg
33155,https://myanimelist.cdn-dena.com/images/anime/7/88061.jpg
10869,https://myanimelist.cdn-dena.com/images/anime/3/30012.jpg
12589,https://myanimelist.cdn-dena.com/images/anime/7/35279.jpg
3981,https://myanimelist.cdn-dena.com/images/anime/6/7185.jpg
15813,https://myanimelist.cdn-dena.com/images/anime/5/53567.jpg
36951,https://myanimelist.cdn-dena.com/images/anime/1145/92229.jpg
33462,https://myanimelist.cdn-dena.com/images/anime/11/81589.jpg
12569,https://myanimelist.cdn-dena.com/images/anime/9/35227.jpg
34908,https://myanimelist.cdn-dena.com/images/anime/7/84224.jpg
1586,https://myanimelist.cdn-dena.com/images/anime/2/18760.jpg
1778,https://myanimelist.cdn-dena.com/images/anime/1/1778.jpg
20057,https://myanimelist.cdn-dena.com/images/anime/4/56611.jpg
18637,https://myanimelist.cdn-dena.com/images/anime/4/49765.jpg
6828,https://myanimelist.cdn-dena.com/images/anime/4/15831.jpg
30347,https://myanimelist.cdn-dena.com/images/anime/6/76269.jpg
14249,https://myanimelist.cdn-dena.com/images/anime/4/74720.jpg
18893,https://myanimelist.cdn-dena.com/images/anime/6/56143.jpg
35334,https://myanimelist.cdn-dena.com/images/anime/2/88678.jpg
36755,https://myanimelist.cdn-dena.com/images/anime/6/88882.jpg
3164,https://myanimelist.cdn-dena.com/images/anime/6/4864.jpg
2632,
2199,https://myanimelist.cdn-dena.com/images/anime/11/80079.jpg
1286,https://myanimelist.cdn-dena.com/images/anime/9/55867.jpg
34561,https://myanimelist.cdn-dena.com/images/anime/11/85469.jpg
515,https://myanimelist.cdn-dena.com/images/anime/1416/92527.jpg
33907,https://myanimelist.cdn-dena.com/images/anime/5/81601.jpg
238,https://myanimelist.cdn-dena.com/images/anime/6/22466.jpg
5990,https://myanimelist.cdn-dena.com/images/anime/11/83228.jpg
27989,https://myanimelist.cdn-dena.com/images/anime/6/72445.jpg
36838,https://myanimelist.cdn-dena.com/images/anime/12/89603.jpg
1200,https://myanimelist.cdn-dena.com/images/anime/3/28268.jpg
32644,https://myanimelist.cdn-dena.com/images/anime/8/81478.jpg
2769,https://myanimelist.cdn-dena.com/images/anime/9/3743.jpg
24031,https://myanimelist.cdn-dena.com/images/anime/2/65339.jpg
37421,https://myanimelist.cdn-dena.com/images/anime/1244/90866.jpg
3975,https://myanimelist.cdn-dena.com/images/anime/3/7166.jpg
29583,https://myanimelist.cdn-dena.com/images/anime/11/71175.jpg
22839,https://myanimelist.cdn-dena.com/images/anime/12/59379.jpg
10935,https://myanimelist.cdn-dena.com/images/anime/7/30177.jpg
37711,https://myanimelist.cdn-dena.com/images/anime/1298/91812.jpg
9880,https://myanimelist.cdn-dena.com/images/anime/13/27327.jpg
37435,https://myanimelist.cdn-dena.com/images/anime/1175/90916.jpg
14007,https://myanimelist.cdn-dena.com/images/anime/4/54423.jpg
17147,https://myanimelist.cdn-dena.com/images/anime/13/46063.jpg
28023,
22273,https://myanimelist.cdn-dena.com/images/anime/13/70147.jpg
33885,https://myanimelist.cdn-dena.com/images/anime/9/81556.jpg
11769,https://myanimelist.cdn-dena.com/images/anime/11/35659.jpg
3232,https://myanimelist.cdn-dena.com/images/anime/7/5124.jpg
10250,https://myanimelist.cdn-dena.com/images/anime/2/28227.jpg
15771,https://myanimelist.cdn-dena.com/images/anime/7/48723.jpg
1360,https://myanimelist.cdn-dena.com/images/anime/12/37381.jpg
8986,https://myanimelist.cdn-dena.com/images/anime/8/37135.jpg
4590,https://myanimelist.cdn-dena.com/images/anime/8/41621.jpg
3675,https://myanimelist.cdn-dena.com/images/anime/8/75156.jpg
33153,https://myanimelist.cdn-dena.com/images/anime/2/81362.jpg
